"","listenerID","n_pass1","n_pass2","recordings_pass1","recordings_pass2"
"1","blky",8,0,"0340_000301_scrubbed.wav,0196_000902_scrubbed.wav,0300_000607_scrubbed.wav,0274_000221_scrubbed.wav,0054_000603_scrubbed.wav,0833_010606.wav,0204_000609_scrubbed.wav,0857_000301_scrubbed.wav",""
"2","cvai",10,0,"0300_000607_scrubbed.wav,0196_000902_scrubbed.wav,0857_000301_scrubbed.wav,0344_000913.wav,0054_000603_scrubbed.wav,0833_010606.wav,0437_010603_scrubbed.wav,0274_000221_scrubbed.wav,0204_000609_scrubbed.wav,0340_000301_scrubbed.wav",""
"3","ejkq",1,0,"0857_000301_scrubbed.wav",""
"4","eoce",10,0,"0344_000913.wav,0300_000607_scrubbed.wav,0833_010606.wav,0340_000301_scrubbed.wav,0274_000221_scrubbed.wav,0204_000609_scrubbed.wav,0437_010603_scrubbed.wav,0054_000603_scrubbed.wav,0857_000301_scrubbed.wav,0196_000902_scrubbed.wav",""
"5","jkwa",10,0,"0340_000301_scrubbed.wav,0204_000609_scrubbed.wav,0833_010606.wav,0054_000603_scrubbed.wav,0196_000902_scrubbed.wav,0437_010603_scrubbed.wav,0274_000221_scrubbed.wav,0344_000913.wav,0300_000607_scrubbed.wav,0857_000301_scrubbed.wav",""
"6","jvfs",10,3,"0300_000607_scrubbed.wav,0833_010606.wav,0054_000603_scrubbed.wav,0857_000301_scrubbed.wav,0344_000913.wav,0196_000902_scrubbed.wav,0274_000221_scrubbed.wav,0437_010603_scrubbed.wav,0204_000609_scrubbed.wav,0340_000301_scrubbed.wav","0344_000913.wav,0857_000301_scrubbed.wav,0196_000902_scrubbed.wav"
"7","kfav",8,0,"0340_000301_scrubbed.wav,0204_000609_scrubbed.wav,0054_000603_scrubbed.wav,0857_000301_scrubbed.wav,0300_000607_scrubbed.wav,0196_000902_scrubbed.wav,0274_000221_scrubbed.wav,0833_010606.wav",""
"8","lant",10,10,"0274_000221_scrubbed.wav,0196_000902_scrubbed.wav,0054_000603_scrubbed.wav,0857_000301_scrubbed.wav,0344_000913.wav,0437_010603_scrubbed.wav,0340_000301_scrubbed.wav,0204_000609_scrubbed.wav,0300_000607_scrubbed.wav,0833_010606.wav","0437_010603_scrubbed.wav,0274_000221_scrubbed.wav,0340_000301_scrubbed.wav,0833_010606.wav,0857_000301_scrubbed.wav,0300_000607_scrubbed.wav,0344_000913.wav,0204_000609_scrubbed.wav,0196_000902_scrubbed.wav,0054_000603_scrubbed.wav"
"9","lplf",3,0,"0340_000301_scrubbed.wav,0204_000609_scrubbed.wav,0054_000603_scrubbed.wav",""
"10","lskw",10,0,"0857_000301_scrubbed.wav,0274_000221_scrubbed.wav,0437_010603_scrubbed.wav,0340_000301_scrubbed.wav,0054_000603_scrubbed.wav,0196_000902_scrubbed.wav,0204_000609_scrubbed.wav,0833_010606.wav,0300_000607_scrubbed.wav,0344_000913.wav",""
"11","lyur",2,0,"0344_000913.wav,0857_000301_scrubbed.wav",""
"12","mrkf",7,0,"0204_000609_scrubbed.wav,0196_000902_scrubbed.wav,0833_010606.wav,0054_000603_scrubbed.wav,0344_000913.wav,0437_010603_scrubbed.wav,0300_000607_scrubbed.wav",""
"13","pdav",10,0,"0054_000603_scrubbed.wav,0857_000301_scrubbed.wav,0204_000609_scrubbed.wav,0274_000221_scrubbed.wav,0196_000902_scrubbed.wav,0340_000301_scrubbed.wav,0833_010606.wav,0437_010603_scrubbed.wav,0344_000913.wav,0300_000607_scrubbed.wav",""
"14","pwwr",9,0,"0857_000301_scrubbed.wav,0437_010603_scrubbed.wav,0340_000301_scrubbed.wav,0204_000609_scrubbed.wav,0344_000913.wav,0054_000603_scrubbed.wav,0300_000607_scrubbed.wav,0833_010606.wav,0274_000221_scrubbed.wav",""
"15","qoth",10,10,"0857_000301_scrubbed.wav,0204_000609_scrubbed.wav,0833_010606.wav,0274_000221_scrubbed.wav,0196_000902_scrubbed.wav,0344_000913.wav,0437_010603_scrubbed.wav,0054_000603_scrubbed.wav,0300_000607_scrubbed.wav,0340_000301_scrubbed.wav","0344_000913.wav,0274_000221_scrubbed.wav,0833_010606.wav,0340_000301_scrubbed.wav,0204_000609_scrubbed.wav,0196_000902_scrubbed.wav,0300_000607_scrubbed.wav,0437_010603_scrubbed.wav,0054_000603_scrubbed.wav,0857_000301_scrubbed.wav"
"16","szch",10,9,"0204_000609_scrubbed.wav,0340_000301_scrubbed.wav,0437_010603_scrubbed.wav,0344_000913.wav,0196_000902_scrubbed.wav,0857_000301_scrubbed.wav,0054_000603_scrubbed.wav,0300_000607_scrubbed.wav,0833_010606.wav,0274_000221_scrubbed.wav","0437_010603_scrubbed.wav,0300_000607_scrubbed.wav,0344_000913.wav,0833_010606.wav,0274_000221_scrubbed.wav,0857_000301_scrubbed.wav,0204_000609_scrubbed.wav,0340_000301_scrubbed.wav,0196_000902_scrubbed.wav"
"17","ukqu",1,0,"0054_000603_scrubbed.wav",""
"18","vgvn",10,0,"0300_000607_scrubbed.wav,0340_000301_scrubbed.wav,0204_000609_scrubbed.wav,0437_010603_scrubbed.wav,0833_010606.wav,0274_000221_scrubbed.wav,0054_000603_scrubbed.wav,0196_000902_scrubbed.wav,0344_000913.wav,0857_000301_scrubbed.wav",""
"19","xgju",10,0,"0204_000609_scrubbed.wav,0274_000221_scrubbed.wav,0196_000902_scrubbed.wav,0054_000603_scrubbed.wav,0340_000301_scrubbed.wav,0300_000607_scrubbed.wav,0857_000301_scrubbed.wav,0344_000913.wav,0437_010603_scrubbed.wav,0833_010606.wav",""
"20","yzxn",10,9,"0344_000913.wav,0204_000609_scrubbed.wav,0833_010606.wav,0437_010603_scrubbed.wav,0340_000301_scrubbed.wav,0054_000603_scrubbed.wav,0196_000902_scrubbed.wav,0300_000607_scrubbed.wav,0274_000221_scrubbed.wav,0857_000301_scrubbed.wav","0196_000902_scrubbed.wav,0274_000221_scrubbed.wav,0054_000603_scrubbed.wav,0344_000913.wav,0857_000301_scrubbed.wav,0300_000607_scrubbed.wav,0204_000609_scrubbed.wav,0340_000301_scrubbed.wav,0833_010606.wav"
"21","ztcp",7,0,"0857_000301_scrubbed.wav,0300_000607_scrubbed.wav,0344_000913.wav,0274_000221_scrubbed.wav,0196_000902_scrubbed.wav,0054_000603_scrubbed.wav,0340_000301_scrubbed.wav",""
