"","babyID","babyAge","n_pass1","n_pass2","listeners_pass1","listeners_pass2"
"1",340,91,17,4,"blky,cvai,eoce,jkwa,jvfs,kfav,lant,lplf,lskw,pdav,pwwr,qoth,szch,vgvn,xgju,yzxn,ztcp","lant,qoth,szch,yzxn"
"2",196,272,16,4,"blky,cvai,eoce,jkwa,jvfs,kfav,lant,lskw,mrkf,pdav,qoth,szch,vgvn,xgju,yzxn,ztcp","lant,qoth,szch,yzxn"
"3",300,187,16,4,"blky,cvai,eoce,jkwa,jvfs,kfav,lant,lskw,mrkf,pdav,qoth,szch,vgvn,xgju,yzxn,ztcp","lant,qoth,szch,yzxn"
"4",274,81,16,4,"blky,cvai,eoce,jkwa,jvfs,kfav,lant,lskw,pdav,pwwr,qoth,szch,vgvn,xgju,yzxn,ztcp","lant,qoth,szch,yzxn"
"5",54,183,19,3,"blky,cvai,eoce,jkwa,jvfs,kfav,lant,lplf,lskw,mrkf,pdav,pwwr,qoth,szch,ukqu,vgvn,xgju,yzxn,ztcp","lant,qoth,yzxn"
"6",833,551,16,4,"blky,cvai,eoce,jkwa,jvfs,kfav,lant,lskw,mrkf,pdav,pwwr,qoth,szch,vgvn,xgju,yzxn","lant,qoth,szch,yzxn"
"7",204,189,17,4,"blky,cvai,eoce,jkwa,jvfs,kfav,lant,lplf,lskw,mrkf,pdav,pwwr,qoth,szch,vgvn,xgju,yzxn","lant,qoth,szch,yzxn"
"8",857,91,18,5,"blky,cvai,ejkq,eoce,jkwa,jvfs,kfav,lant,lskw,lyur,pdav,pwwr,qoth,szch,vgvn,xgju,yzxn,ztcp","jvfs,lant,qoth,szch,yzxn"
"9",344,283,16,5,"cvai,eoce,jkwa,jvfs,lant,lskw,lyur,mrkf,pdav,pwwr,qoth,szch,vgvn,xgju,yzxn,ztcp","jvfs,lant,qoth,szch,yzxn"
"10",437,548,14,3,"cvai,eoce,jkwa,jvfs,lant,lskw,mrkf,pdav,pwwr,qoth,szch,vgvn,xgju,yzxn","lant,qoth,szch"
