"run","baby","a","this_entropy","this_meandist"
"1","196","9","5.56100988136152","3.72762257242783"
"1","204","6","5.50087098841171","3.4215246132928"
"1","274","3","4.49554831033269","2.88839580570316"
"1","300","6","5.22801234890873","3.67287250386137"
"1","340","3","4.7535218320866","3.53699438094194"
"1","344","9","4.68960183133103","3.45242533343033"
"1","437","18","5.43215690888314","3.36675051797252"
"1","54","6","4.87606797487951","2.80108311825711"
"1","833","18","5.49507945913749","3.23452119283887"
"1","857","3","4.69127401642856","2.80274348676885"
"2","196","9","5.61050316671458","3.80224682282603"
"2","204","6","5.48048977737664","3.51060174800543"
"2","274","3","4.52933977293229","2.89433529883173"
"2","300","6","4.89994360555341","3.62810222003691"
"2","340","3","4.92507181953503","3.90898454014156"
"2","344","9","4.48347433444003","3.25436728510792"
"2","437","18","5.50663419565688","3.53828934546998"
"2","54","6","4.68757150758178","2.86899277407635"
"2","833","18","5.49446380576959","3.3806540064892"
"2","857","3","4.83681129253271","3.01742333769229"
"3","196","9","5.63742924736466","3.65715638065009"
"3","204","6","5.43168016909327","3.37672598456418"
"3","274","3","4.55160929255111","2.88413333808506"
"3","300","6","5.11192028176906","3.55054483224834"
"3","340","3","4.78775297098911","3.61600762028705"
"3","344","9","4.45968183892555","2.98416635110337"
"3","437","18","5.59665785771822","3.54446315807979"
"3","54","6","4.86514613332548","2.96320528597294"
"3","833","18","5.54017491459495","3.27945908237218"
"3","857","3","4.95037314762943","3.01850758741806"
"4","196","9","5.59776792112561","3.53898408204706"
"4","204","6","5.33019646478292","3.32879696131306"
"4","274","3","4.57611054078131","2.70592790139253"
"4","300","6","5.06633503582315","3.54544507155077"
"4","340","3","4.67546408081475","3.43825556995815"
"4","344","9","4.37252412095049","2.78841406543524"
"4","437","18","5.37008840148538","3.12455788509811"
"4","54","6","4.8850928954711","2.88980644175803"
"4","833","18","5.387262723569","3.05353594030022"
"4","857","3","4.85106122109574","2.89677425013871"
"5","196","9","5.54834726139821","3.36906818194589"
"5","204","6","5.49121353360557","3.32015791777137"
"5","274","3","4.59189141435574","2.63894145305214"
"5","300","6","5.16643122702119","3.47282429682876"
"5","340","3","4.88422472703674","3.59188872447704"
"5","344","9","4.8202777556691","3.03590810300464"
"5","437","18","5.44397417749583","3.270907260246"
"5","54","6","4.78591542014506","2.82637676957202"
"5","833","18","5.48907445298267","3.17093404030265"
"5","857","3","4.8338897464039","2.84862559532669"
"6","196","9","5.58760506388532","3.70598434736194"
"6","204","6","5.52870426026144","3.43923700818774"
"6","274","3","4.67222490829629","2.82589952619996"
"6","300","6","5.19774026744566","3.79468475914539"
"6","340","3","4.65841021099579","3.59757626479689"
"6","344","9","4.58740437958803","3.30319983584806"
"6","437","18","5.50255591557151","3.45390195917702"
"6","54","6","5.0289442460965","2.99659175193455"
"6","833","18","5.54697219844385","3.27865892527473"
"6","857","3","4.67148998945602","2.80306018438967"
"7","196","9","5.57997836646812","3.52152707198827"
"7","204","6","5.52476638392095","3.39316434915867"
"7","274","3","4.64885524927107","2.92182460192931"
"7","300","6","4.99420731065655","3.42237507302517"
"7","340","3","4.71768525598644","3.61929599125805"
"7","344","9","4.59992965693031","2.82208300525181"
"7","437","18","5.4232104234752","3.47751923844621"
"7","54","6","5.08500999622557","2.8985614344341"
"7","833","18","5.53321117450616","3.39094705284648"
"7","857","3","4.83347495172031","3.39871045986358"
"8","196","9","5.61496184367805","3.69525581375424"
"8","204","6","5.33008824722133","3.38534356831314"
"8","274","3","4.55826176234572","2.8808927755781"
"8","300","6","5.00659107950816","3.63847704589811"
"8","340","3","4.37607469508761","3.68616470578321"
"8","344","9","4.62839364017722","3.20445622924615"
"8","437","18","5.39155015009806","3.51220917326838"
"8","54","6","4.90625925101653","3.02374765941959"
"8","833","18","5.51343449779063","3.31999828991103"
"8","857","3","4.78428531780769","2.93875217801568"
"9","196","9","5.55445215678872","3.76494859374006"
"9","204","6","5.45750976921448","3.55065961884952"
"9","274","3","4.41943154301335","2.78047438328408"
"9","300","6","4.9813980723286","3.87663553582431"
"9","340","3","4.60505842699831","3.33097504204874"
"9","344","9","4.47158081467684","3.09514354549245"
"9","437","18","5.41124085176989","3.47903521105696"
"9","54","6","4.63320346690727","3.08611184161475"
"9","833","18","5.4094071134468","3.18747431129402"
"9","857","3","4.70534811365502","2.79214317792933"
"10","196","9","5.46893079256206","3.44588904576251"
"10","204","6","5.24920922540431","3.33044104433259"
"10","274","3","4.31326537326242","2.73137981514032"
"10","300","6","5.0936091254554","3.54356520319104"
"10","340","3","4.81979563506447","3.55036009089263"
"10","344","9","4.65232999102325","2.86023287075443"
"10","437","18","5.53428108775562","3.30895818761406"
"10","54","6","4.81751761970776","3.01400745438759"
"10","833","18","5.3864141048218","3.04871001828626"
"10","857","3","4.70551540302138","2.82632098138932"
